study,group,tissue,gene1,gene2,is_marker
17.human_TabulaSapiens,normal,Muscle,PLOD1,3,no
17.human_TabulaSapiens,normal,Muscle,PRDM2,3,no
17.human_TabulaSapiens,normal,Muscle,RPL11,4,no
17.human_TabulaSapiens,normal,Muscle,RPL22,4,no
17.human_TabulaSapiens,normal,Muscle,SELENON,2,no
17.human_TabulaSapiens,normal,Muscle,SH3BGRL3,2,no
17.human_TabulaSapiens,normal,Muscle,SLC25A33,5,no
17.human_TabulaSapiens,normal,Muscle,SPCS2P4,4,no
17.human_TabulaSapiens,normal,Muscle,SPSB1,4,no
17.human_TabulaSapiens,normal,Muscle,SRM,5,no
17.human_TabulaSapiens,normal,Muscle,SRRM1,1,no
17.human_TabulaSapiens,normal,Muscle,SRSF10,4,no
17.human_TabulaSapiens,normal,Muscle,SSU72,2,no
17.human_TabulaSapiens,normal,Muscle,VPS13D,4,no
17.human_TabulaSapiens,normal,Muscle,WASF2,3,no
17.human_TabulaSapiens,normal,Salivary Gland,AMY2B,2,no
17.human_TabulaSapiens,normal,Salivary Gland,ARHGAP29,4,no
17.human_TabulaSapiens,normal,Salivary Gland,ARID1A,4,no
17.human_TabulaSapiens,normal,Salivary Gland,ATP1A1,3,no
17.human_TabulaSapiens,normal,Salivary Gland,ATP5IF1,1,no
17.human_TabulaSapiens,normal,Salivary Gland,ATP5PB,2,no
17.human_TabulaSapiens,normal,Salivary Gland,ATP6V0B,2,no
17.human_TabulaSapiens,normal,Salivary Gland,AURKAIP1,3,no
17.human_TabulaSapiens,normal,Salivary Gland,CDC42,3,no
17.human_TabulaSapiens,normal,Salivary Gland,CHI3L2,1,no
17.human_TabulaSapiens,normal,Salivary Gland,CMPK1,2,no
17.human_TabulaSapiens,normal,Salivary Gland,CNN3,1,no
17.human_TabulaSapiens,normal,Salivary Gland,CSDE1,3,no
17.human_TabulaSapiens,normal,Salivary Gland,CTSK,4,no
17.human_TabulaSapiens,normal,Salivary Gland,CTSS,4,no
17.human_TabulaSapiens,normal,Salivary Gland,DNAJC8,3,no
17.human_TabulaSapiens,normal,Salivary Gland,DNASE2B,1,no
17.human_TabulaSapiens,normal,Salivary Gland,DNTTIP2,5,no
17.human_TabulaSapiens,normal,Salivary Gland,EIF3I,3,no
17.human_TabulaSapiens,normal,Salivary Gland,ENSA,4,no
17.human_TabulaSapiens,normal,Salivary Gland,F3,1,no
17.human_TabulaSapiens,normal,Salivary Gland,FNBP1L,2,no
17.human_TabulaSapiens,normal,Salivary Gland,ILF2,3,no
17.human_TabulaSapiens,normal,Salivary Gland,JTB,1,no
17.human_TabulaSapiens,normal,Salivary Gland,JUN,3,no
17.human_TabulaSapiens,normal,Salivary Gland,KIAA1324,1,no
17.human_TabulaSapiens,normal,Salivary Gland,LEPROT,2,no
17.human_TabulaSapiens,normal,Salivary Gland,LMO4,5,no
17.human_TabulaSapiens,normal,Salivary Gland,MACF1,4,no
17.human_TabulaSapiens,normal,Salivary Gland,MCL1,4,no
17.human_TabulaSapiens,normal,Salivary Gland,MTATP6P1,4,no
17.human_TabulaSapiens,normal,Salivary Gland,NASP,2,no
17.human_TabulaSapiens,normal,Salivary Gland,PALMD,3,no
17.human_TabulaSapiens,normal,Salivary Gland,PARK7,2,no
17.human_TabulaSapiens,normal,Salivary Gland,PDZK1IP1,2,no
17.human_TabulaSapiens,normal,Salivary Gland,PLA2G2A,1,no
17.human_TabulaSapiens,normal,Salivary Gland,PNRC2,3,no
17.human_TabulaSapiens,normal,Salivary Gland,PRDX1,3,no
17.human_TabulaSapiens,normal,Salivary Gland,PRKACB,4,no
17.human_TabulaSapiens,normal,Salivary Gland,PRPF38B,4,no
17.human_TabulaSapiens,normal,Salivary Gland,PTPRF,2,no
17.human_TabulaSapiens,normal,Salivary Gland,RAB13,4,no
17.human_TabulaSapiens,normal,Salivary Gland,RBM8A,2,no
17.human_TabulaSapiens,normal,Salivary Gland,RPL11,4,no
17.human_TabulaSapiens,normal,Salivary Gland,RPL22,4,no
17.human_TabulaSapiens,normal,Salivary Gland,RPL5,2,no
17.human_TabulaSapiens,normal,Salivary Gland,RPS27,3,no
17.human_TabulaSapiens,normal,Salivary Gland,RPS8,3,no
17.human_TabulaSapiens,normal,Salivary Gland,S100A1,2,no
17.human_TabulaSapiens,normal,Salivary Gland,S100A10,4,no
17.human_TabulaSapiens,normal,Salivary Gland,S100A11,1,no
17.human_TabulaSapiens,normal,Salivary Gland,S100A16,3,no
17.human_TabulaSapiens,normal,Salivary Gland,S100A4,4,no
17.human_TabulaSapiens,normal,Salivary Gland,S100A6,4,no
17.human_TabulaSapiens,normal,Salivary Gland,S100A9,3,no
17.human_TabulaSapiens,normal,Salivary Gland,SARS,3,no
17.human_TabulaSapiens,normal,Salivary Gland,SERBP1,2,no
17.human_TabulaSapiens,normal,Salivary Gland,SERINC2,1,no
17.human_TabulaSapiens,normal,Salivary Gland,SH3BGRL3,4,no
17.human_TabulaSapiens,normal,Salivary Gland,SH3GLB1,4,no
17.human_TabulaSapiens,normal,Salivary Gland,SRRM1,1,no
17.human_TabulaSapiens,normal,Salivary Gland,SRSF10,2,no
17.human_TabulaSapiens,normal,Salivary Gland,SRSF11,3,no
17.human_TabulaSapiens,normal,Salivary Gland,SSU72,3,no
17.human_TabulaSapiens,normal,Salivary Gland,TACSTD2,2,no
17.human_TabulaSapiens,normal,Salivary Gland,TMEM50A,1,no
17.human_TabulaSapiens,normal,Salivary Gland,TXNIP,1,no
17.human_TabulaSapiens,normal,Salivary Gland,UQCRH,2,no
17.human_TabulaSapiens,normal,Salivary Gland,YBX1,2,no
17.human_TabulaSapiens,normal,Spleen,AKR1A1,3,no
17.human_TabulaSapiens,normal,Spleen,ATP5IF1,5,no
17.human_TabulaSapiens,normal,Spleen,ATP5PB,3,no
17.human_TabulaSapiens,normal,Spleen,ATP6V0B,1,no
17.human_TabulaSapiens,normal,Spleen,C1QA,1,no
17.human_TabulaSapiens,normal,Spleen,C1QB,2,no
17.human_TabulaSapiens,normal,Spleen,C1QC,2,no
17.human_TabulaSapiens,normal,Spleen,C1orf162,5,no
17.human_TabulaSapiens,normal,Spleen,CAP1,5,no
17.human_TabulaSapiens,normal,Spleen,CAPZA1,3,no
17.human_TabulaSapiens,normal,Spleen,CAPZB,3,no
17.human_TabulaSapiens,normal,Spleen,CD52,2,no
17.human_TabulaSapiens,normal,Spleen,CD53,2,no
17.human_TabulaSapiens,normal,Spleen,CSDE1,2,no
17.human_TabulaSapiens,normal,Spleen,CSF3R,6,no
17.human_TabulaSapiens,normal,Spleen,DDOST,2,no
17.human_TabulaSapiens,normal,Spleen,DNAJC8,3,no
17.human_TabulaSapiens,normal,Spleen,DPYD,2,no
17.human_TabulaSapiens,normal,Spleen,EBNA1BP2,3,no
17.human_TabulaSapiens,normal,Spleen,EFHD2,4,no
17.human_TabulaSapiens,normal,Spleen,EIF3I,4,no
17.human_TabulaSapiens,normal,Spleen,ENO1,1,no
17.human_TabulaSapiens,normal,Spleen,FGR,2,no
17.human_TabulaSapiens,normal,Spleen,GNAI3,2,no
17.human_TabulaSapiens,normal,Spleen,GNB1,3,no
17.human_TabulaSapiens,normal,Spleen,GNG5,5,no
17.human_TabulaSapiens,normal,Spleen,HES4,3,no
17.human_TabulaSapiens,normal,Spleen,HMGN2,2,no
17.human_TabulaSapiens,normal,Spleen,HP1BP3,3,no
17.human_TabulaSapiens,normal,Spleen,JUN,6,no
17.human_TabulaSapiens,normal,Spleen,LAMTOR5,4,no
17.human_TabulaSapiens,normal,Spleen,LINC01781,1,no
17.human_TabulaSapiens,normal,Spleen,LMO4,2,no
17.human_TabulaSapiens,normal,Spleen,MAGOH,4,no
17.human_TabulaSapiens,normal,Spleen,MICOS10,1,no
17.human_TabulaSapiens,normal,Spleen,MRPL37,5,no
17.human_TabulaSapiens,normal,Spleen,MRPS15,4,no
17.human_TabulaSapiens,normal,Spleen,MRTO4,2,no
17.human_TabulaSapiens,normal,Spleen,NASP,1,no
17.human_TabulaSapiens,normal,Spleen,NDUFS5,3,no
17.human_TabulaSapiens,normal,Spleen,NRDC,5,no
17.human_TabulaSapiens,normal,Spleen,NUDC,4,no
17.human_TabulaSapiens,normal,Spleen,PABPC4,4,no
17.human_TabulaSapiens,normal,Spleen,PDE4B,4,no
17.human_TabulaSapiens,normal,Spleen,PRPF38B,2,no
17.human_TabulaSapiens,normal,Spleen,PSMA5,3,no
17.human_TabulaSapiens,normal,Spleen,PTP4A2,2,no
17.human_TabulaSapiens,normal,Spleen,RAP1A,4,no
17.human_TabulaSapiens,normal,Spleen,RBBP4,4,no
17.human_TabulaSapiens,normal,Spleen,RER1,2,no
17.human_TabulaSapiens,normal,Spleen,RPL11,3,no
17.human_TabulaSapiens,normal,Spleen,RPL22,1,no
17.human_TabulaSapiens,normal,Spleen,RPS8,2,no
17.human_TabulaSapiens,normal,Spleen,RSRP1,4,no
17.human_TabulaSapiens,normal,Spleen,SARS,4,no
17.human_TabulaSapiens,normal,Spleen,SDC3,2,no
17.human_TabulaSapiens,normal,Spleen,SDHB,4,no
17.human_TabulaSapiens,normal,Spleen,SELENOF,3,no
17.human_TabulaSapiens,normal,Spleen,SERBP1,1,no
17.human_TabulaSapiens,normal,Spleen,SF3A3,4,no
17.human_TabulaSapiens,normal,Spleen,SH3BGRL3,5,no
17.human_TabulaSapiens,normal,Spleen,SMAP2,5,no
17.human_TabulaSapiens,normal,Spleen,SNHG3,5,no
17.human_TabulaSapiens,normal,Spleen,SPEN,5,no
17.human_TabulaSapiens,normal,Spleen,SRM,1,no
17.human_TabulaSapiens,normal,Spleen,SRRM1,2,no
17.human_TabulaSapiens,normal,Spleen,SRSF11,2,no
17.human_TabulaSapiens,normal,Spleen,SRSF4,3,no
17.human_TabulaSapiens,normal,Spleen,SSU72,3,no
17.human_TabulaSapiens,normal,Spleen,STMN1,3,no
17.human_TabulaSapiens,normal,Spleen,THRAP3,4,no
17.human_TabulaSapiens,normal,Spleen,TMEM50A,4,no
17.human_TabulaSapiens,normal,Spleen,TMEM59,3,no
17.human_TabulaSapiens,normal,Spleen,UQCRH,1,no
17.human_TabulaSapiens,normal,Spleen,USP1,5,no
17.human_TabulaSapiens,normal,Spleen,USP48,3,no
17.human_TabulaSapiens,normal,Spleen,VCAM1,3,no
17.human_TabulaSapiens,normal,Spleen,WASF2,1,no
17.human_TabulaSapiens,normal,Spleen,YARS,5,no
17.human_TabulaSapiens,normal,Spleen,YBX1,1,no
17.human_TabulaSapiens,normal,Thymus,AKR1A1,4,no
17.human_TabulaSapiens,normal,Thymus,ATP5IF1,4,no
17.human_TabulaSapiens,normal,Thymus,ATP5PB,2,no
17.human_TabulaSapiens,normal,Thymus,ATP6V0B,3,no
17.human_TabulaSapiens,normal,Thymus,C1QC,2,no
17.human_TabulaSapiens,normal,Thymus,C1orf122,2,no
17.human_TabulaSapiens,normal,Thymus,CAPZA1,4,no
17.human_TabulaSapiens,normal,Thymus,CCN1,4,no
17.human_TabulaSapiens,normal,Thymus,CD2,1,no
17.human_TabulaSapiens,normal,Thymus,CD52,2,no
17.human_TabulaSapiens,normal,Thymus,CD53,3,no
17.human_TabulaSapiens,normal,Thymus,CDC42,5,no
17.human_TabulaSapiens,normal,Thymus,CLIC4,3,no
17.human_TabulaSapiens,normal,Thymus,CTSS,3,no
17.human_TabulaSapiens,normal,Thymus,EIF3I,2,no
17.human_TabulaSapiens,normal,Thymus,FAM110D,2,no
17.human_TabulaSapiens,normal,Thymus,FDPS,3,no
17.human_TabulaSapiens,normal,Thymus,GNG5,4,no
17.human_TabulaSapiens,normal,Thymus,HNRNPR,2,no
17.human_TabulaSapiens,normal,Thymus,HSPG2,4,no
17.human_TabulaSapiens,normal,Thymus,ID3,4,no
17.human_TabulaSapiens,normal,Thymus,ILF2,2,no
17.human_TabulaSapiens,normal,Thymus,JTB,2,no
17.human_TabulaSapiens,normal,Thymus,JUN,3,no
17.human_TabulaSapiens,normal,Thymus,KRTCAP2,2,no
17.human_TabulaSapiens,normal,Thymus,LEPROT,1,no
17.human_TabulaSapiens,normal,Thymus,LMNA,4,no
17.human_TabulaSapiens,normal,Thymus,MACF1,3,no
17.human_TabulaSapiens,normal,Thymus,MCL1,5,no
17.human_TabulaSapiens,normal,Thymus,MICOS10,1,no
17.human_TabulaSapiens,normal,Thymus,MRPS21,3,no
17.human_TabulaSapiens,normal,Thymus,MTATP6P1,2,no
17.human_TabulaSapiens,normal,Thymus,NUDC,2,no
17.human_TabulaSapiens,normal,Thymus,PABPC4,4,no
17.human_TabulaSapiens,normal,Thymus,PIK3R3,2,no
17.human_TabulaSapiens,normal,Thymus,PODN,4,no
17.human_TabulaSapiens,normal,Thymus,PSMB2,4,no
17.human_TabulaSapiens,normal,Thymus,PSMB4,3,no
17.human_TabulaSapiens,normal,Thymus,PTP4A2,3,no
17.human_TabulaSapiens,normal,Thymus,RHOC,2,no
17.human_TabulaSapiens,normal,Thymus,RPL22,2,no
17.human_TabulaSapiens,normal,Thymus,RPL5,1,no
17.human_TabulaSapiens,normal,Thymus,RPS8,2,no
17.human_TabulaSapiens,normal,Thymus,S100A11,2,no
17.human_TabulaSapiens,normal,Thymus,S100A13,3,no
17.human_TabulaSapiens,normal,Thymus,S100A16,2,no
17.human_TabulaSapiens,normal,Thymus,S100A4,4,no
17.human_TabulaSapiens,normal,Thymus,S100A6,1,no
17.human_TabulaSapiens,normal,Thymus,S100A8,3,no
17.human_TabulaSapiens,normal,Thymus,S100A9,3,no
17.human_TabulaSapiens,normal,Thymus,SDF4,4,no
17.human_TabulaSapiens,normal,Thymus,SELENOF,3,no
17.human_TabulaSapiens,normal,Thymus,SH3BGRL3,2,no
17.human_TabulaSapiens,normal,Thymus,SMAP2,3,no
17.human_TabulaSapiens,normal,Thymus,SRM,4,no
17.human_TabulaSapiens,normal,Thymus,SRSF11,2,no
17.human_TabulaSapiens,normal,Thymus,SSR2,3,no
17.human_TabulaSapiens,normal,Thymus,STMN1,2,no
17.human_TabulaSapiens,normal,Thymus,TGFBR3,4,no
17.human_TabulaSapiens,normal,Thymus,TINAGL1,2,no
17.human_TabulaSapiens,normal,Thymus,TMEM50A,2,no
17.human_TabulaSapiens,normal,Thymus,TMEM59,1,no
17.human_TabulaSapiens,normal,Thymus,TNFRSF1B,3,no
17.human_TabulaSapiens,normal,Thymus,TPM3,4,no
17.human_TabulaSapiens,normal,Thymus,TXNIP,2,no
17.human_TabulaSapiens,normal,Thymus,UQCRH,1,no
17.human_TabulaSapiens,normal,Thymus,YBX1,3,no
17.human_TabulaSapiens,normal,Tongue,AURKAIP1,1,no
17.human_TabulaSapiens,normal,Tongue,CAP1,1,no
17.human_TabulaSapiens,normal,Tongue,CAPZA1,1,no
17.human_TabulaSapiens,normal,Tongue,CAPZB,1,no
17.human_TabulaSapiens,normal,Tongue,CDC42,1,no
17.human_TabulaSapiens,normal,Tongue,CRCT1,1,no
17.human_TabulaSapiens,normal,Tongue,CTNNBIP1,1,no
17.human_TabulaSapiens,normal,Tongue,DENND2C,1,no
17.human_TabulaSapiens,normal,Tongue,DNTTIP2,1,no
17.human_TabulaSapiens,normal,Tongue,ECM1,1,no
17.human_TabulaSapiens,normal,Tongue,GNAI3,1,no
17.human_TabulaSapiens,normal,Tongue,HP1BP3,1,no
17.human_TabulaSapiens,normal,Tongue,JUN,1,no
17.human_TabulaSapiens,normal,Tongue,MCL1,1,no
17.human_TabulaSapiens,normal,Tongue,MRPL20,1,no
17.human_TabulaSapiens,normal,Tongue,MRPS15,1,no
17.human_TabulaSapiens,normal,Tongue,NRDC,1,no
17.human_TabulaSapiens,normal,Tongue,PARK7,1,no
17.human_TabulaSapiens,normal,Tongue,PRDX1,1,no
17.human_TabulaSapiens,normal,Tongue,PSMD4,1,no
17.human_TabulaSapiens,normal,Tongue,RER1,1,no
17.human_TabulaSapiens,normal,Tongue,RPL7P9,1,no
17.human_TabulaSapiens,normal,Tongue,S100A16,1,no
17.human_TabulaSapiens,normal,Tongue,S100A2,1,no
17.human_TabulaSapiens,normal,Tongue,S100A8,1,no
17.human_TabulaSapiens,normal,Tongue,S100A9,1,no
17.human_TabulaSapiens,normal,Tongue,SFN,1,no
17.human_TabulaSapiens,normal,Tongue,SFPQ,1,no
17.human_TabulaSapiens,normal,Tongue,SPRR2A,1,no
17.human_TabulaSapiens,normal,Tongue,SPRR2E,1,no
17.human_TabulaSapiens,normal,Tongue,SRRM1,1,no
17.human_TabulaSapiens,normal,Tongue,STMN1,1,no
17.human_TabulaSapiens,normal,Tongue,TMEM50A,1,no
17.human_TabulaSapiens,normal,Tongue,UQCRH,1,no
17.human_TabulaSapiens,normal,Vasculature,AKR1A1,1,no
17.human_TabulaSapiens,normal,Vasculature,ARHGAP29,1,no
17.human_TabulaSapiens,normal,Vasculature,ATP6V0B,2,no
17.human_TabulaSapiens,normal,Vasculature,C1QA,1,no
17.human_TabulaSapiens,normal,Vasculature,C1QB,2,no
17.human_TabulaSapiens,normal,Vasculature,C1QC,2,no
17.human_TabulaSapiens,normal,Vasculature,CAPZB,2,no
17.human_TabulaSapiens,normal,Vasculature,CCN1,2,no
17.human_TabulaSapiens,normal,Vasculature,CDC42,4,no
17.human_TabulaSapiens,normal,Vasculature,CMPK1,1,no
17.human_TabulaSapiens,normal,Vasculature,CNN3,1,no
17.human_TabulaSapiens,normal,Vasculature,DDOST,1,no
17.human_TabulaSapiens,normal,Vasculature,DHRS3,3,no
17.human_TabulaSapiens,normal,Vasculature,DNAJC8,1,no
17.human_TabulaSapiens,normal,Vasculature,EIF3I,1,no
17.human_TabulaSapiens,normal,Vasculature,ENO1,1,no
17.human_TabulaSapiens,normal,Vasculature,F3,1,no
17.human_TabulaSapiens,normal,Vasculature,HMGN2,1,no
17.human_TabulaSapiens,normal,Vasculature,HNRNPR,1,no
17.human_TabulaSapiens,normal,Vasculature,HSPG2,1,no
17.human_TabulaSapiens,normal,Vasculature,ID3,4,no
17.human_TabulaSapiens,normal,Vasculature,IFI6,1,no
17.human_TabulaSapiens,normal,Vasculature,JUN,2,no
17.human_TabulaSapiens,normal,Vasculature,KIF1B,2,no
17.human_TabulaSapiens,normal,Vasculature,LAPTM5,2,no
17.human_TabulaSapiens,normal,Vasculature,LEPROT,1,no
17.human_TabulaSapiens,normal,Vasculature,LMO4,1,no
17.human_TabulaSapiens,normal,Vasculature,MACF1,1,no
17.human_TabulaSapiens,normal,Vasculature,MICOS10,2,no
17.human_TabulaSapiens,normal,Vasculature,MXRA8,2,no
17.human_TabulaSapiens,normal,Vasculature,NDUFS5,1,no
17.human_TabulaSapiens,normal,Vasculature,NEGR1,2,no
17.human_TabulaSapiens,normal,Vasculature,NEXN,1,no
17.human_TabulaSapiens,normal,Vasculature,NFIA,1,no
17.human_TabulaSapiens,normal,Vasculature,NUDC,1,no
17.human_TabulaSapiens,normal,Vasculature,PABPC4,3,no
17.human_TabulaSapiens,normal,Vasculature,PARK7,1,no
17.human_TabulaSapiens,normal,Vasculature,PHC2,2,no
17.human_TabulaSapiens,normal,Vasculature,PLA2G2A,1,no
17.human_TabulaSapiens,normal,Vasculature,PLOD1,2,no
17.human_TabulaSapiens,normal,Vasculature,PODN,2,no
17.human_TabulaSapiens,normal,Vasculature,PRDX1,2,no
17.human_TabulaSapiens,normal,Vasculature,PTP4A2,1,no
17.human_TabulaSapiens,normal,Vasculature,RER1,1,no
17.human_TabulaSapiens,normal,Vasculature,RPL11,1,no
17.human_TabulaSapiens,normal,Vasculature,RPL5,2,no
17.human_TabulaSapiens,normal,Vasculature,RPS8,1,no
17.human_TabulaSapiens,normal,Vasculature,RSRP1,3,no
17.human_TabulaSapiens,normal,Vasculature,SARS,2,no
17.human_TabulaSapiens,normal,Vasculature,SCP2,1,no
17.human_TabulaSapiens,normal,Vasculature,SELENOF,2,no
17.human_TabulaSapiens,normal,Vasculature,SERBP1,1,no
17.human_TabulaSapiens,normal,Vasculature,SFPQ,2,no
17.human_TabulaSapiens,normal,Vasculature,SH3BGRL3,3,no
17.human_TabulaSapiens,normal,Vasculature,SH3GLB1,2,no
17.human_TabulaSapiens,normal,Vasculature,SRSF10,3,no
17.human_TabulaSapiens,normal,Vasculature,SRSF11,2,no
17.human_TabulaSapiens,normal,Vasculature,SRSF4,2,no
17.human_TabulaSapiens,normal,Vasculature,TGFBR3,2,no
17.human_TabulaSapiens,normal,Vasculature,TINAGL1,4,no
17.human_TabulaSapiens,normal,Vasculature,TMEM50A,1,no
17.human_TabulaSapiens,normal,Vasculature,TMEM59,1,no
17.human_TabulaSapiens,normal,Vasculature,UQCRH,2,no
17.human_TabulaSapiens,normal,Vasculature,YBX1,2,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,ACTR2,2,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,C1QC,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,C1orf162,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,CALM2,2,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,CD48,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,CD52,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,CDC42,2,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,FCGR3A,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,GAS5,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,GLUL,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,GYPC,2,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,ID2,2,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,IGKC,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,IL1B,252,yes
18.human_CrossTissueImmuneCells,normal,Bone Marrow,JUN,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,LAPTM5,2,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,MCL1,2,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,MNDA,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,MZT2B,2,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,NDUFS5,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,NUCKS1,2,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,OST4,2,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,PARK7,2,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,PCBP1,2,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,PDIA6,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,PRDX1,2,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,PTPRC,2,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,RGS1,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,RHOB,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,RPL11,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,RPL22,2,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,RPL5,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,RPS27A,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,RPS7,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,RPS8,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,S100A11,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,S100A8,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,S100A9,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,SMAP2,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,SNRPG,2,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,SRSF7,2,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,TMSB10,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,TXNIP,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,UROD,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,VAMP8,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,XCL2,1,no
18.human_CrossTissueImmuneCells,normal,Bone Marrow,ZFP36L2,2,no
18.human_CrossTissueImmuneCells,normal,Ileum,CCL5,6,yes
18.human_CrossTissueImmuneCells,normal,Ileum,CD74,1,no
18.human_CrossTissueImmuneCells,normal,Ileum,EEF1B2,1,no
18.human_CrossTissueImmuneCells,normal,Ileum,MT-ND2,1,no
18.human_CrossTissueImmuneCells,normal,Ileum,NFKBIA,1,no
18.human_CrossTissueImmuneCells,normal,Ileum,RPL41,1,no
18.human_CrossTissueImmuneCells,normal,Ileum,RPL6,1,no
18.human_CrossTissueImmuneCells,normal,Ileum,RPLP0,1,no
18.human_CrossTissueImmuneCells,normal,Ileum,RPS6,1,no
18.human_CrossTissueImmuneCells,normal,Ileum,TMSB4X,1,no
18.human_CrossTissueImmuneCells,normal,Ileum,TSC22D3,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Epithelial,CD2,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Epithelial,CD8A,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Epithelial,EEF1B2,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Epithelial,GNLY,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Epithelial,HSPB1,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Epithelial,HSPD1,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Epithelial,JUN,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Epithelial,MALAT1,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Epithelial,MBNL1,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Epithelial,RPL24,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Epithelial,RPS7,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Epithelial,STK17B,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Epithelial,TXNIP,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,ARL4C,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,ARPC2,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,ATF3,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,ATP1B3,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,BCAS2,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,BTG2,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,C1QC,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,CCNL1,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,CTSS,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,DUSP2,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,EEF1B2,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,GAS5,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,GLUL,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,H1FX,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,H3F3A,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,HDLBP,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,HES4,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,HNRNPU,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,HSPA6,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,HSPD1,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,HSPE1,1,no
