study,group,tissue,cellType,gene1,gene2,is_marker
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,MSMO1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,MUC1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,OST4,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,PRDX1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,RHOA,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,RNF145,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,RPL22,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,S100A10,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,S100A11,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,S100A4,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,SCGB3A1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,SERPINB1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,SFN,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,SH3BGRL3,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,SKP1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,SLC34A2,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,SQSTM1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,TAGLN2,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,TFPI,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,TM4SF1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,TMA7,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,TMSB10,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Hepatocyte,UQCRQ,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,AREG,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,ATF3,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,BTG2,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,C1orf162,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,CAPG,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,CNBP,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,CTSS,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,CXCL2,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,CXCR4,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,CYP27A1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,ENO1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,FABP3,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,FCGR3A,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,GNG5,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,H3F3A,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,HMGN2,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,HSPE1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,IFI6,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,JUN,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,LMNA,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,LRPAP1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,LRRFIP1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,MARCO,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,MCL1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,NDUFS5,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,RHOB,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,RTN4,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,S100A8,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,S100A9,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,SERP1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,SLC11A1,2,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,TKT,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,TPM3,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Monocyte,TXNIP,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Nk Cell,ARHGDIB,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Nk Cell,ATP5G2,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Nk Cell,BTF3,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Nk Cell,CD3E,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Nk Cell,CD52,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Nk Cell,CLIC1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Nk Cell,CORO1A,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Nk Cell,GNB2L1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Nk Cell,GNLY,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Nk Cell,GZMH,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Nk Cell,H3F3A,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Nk Cell,IFITM1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Nk Cell,IFITM2,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Nk Cell,RPL24,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Nk Cell,RPS24,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Immune Cells-Nk Cell,RPSA,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),AREG,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),ATP6V0B,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),COX5B,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),CXCL2,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),CXCL3,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),CYP27A1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),ENO1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),FCGR3A,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),GCA,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),GNG5,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),HPGD,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),LMNA,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),LRPAP1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),LRRFIP1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),OST4,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),RHOB,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),RNF149,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),RTN4,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),S100A9,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),SLC11A1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),TAGLN2,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),TFRC,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),TMA7,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),TMEM59,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),TPM3,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),UBE2D3,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,AREG,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,ATP1B3,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,CALM2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,CXCL2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,EEF1B2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,FGFBP1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,GLUL,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,HES1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,HOPX,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,IL1R2,163,yes
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,IL1RN,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,LMNA,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,MCL1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,MIR205HG,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,NCL,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,PTMA,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,RHOA,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,RPL22,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,RPL37A,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,S100A14,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,S100A2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,S100A8,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,SDC1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,SERP1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,SFN,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,TACSTD2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,TKT,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,VAMP8,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,YBX1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,ARPC5,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,ATP6V0B,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,AURKAIP1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,CALM2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,CAP1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,CCT3,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,CLCA2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,CLCA4,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,CMPK1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,CRABP2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,ELF3,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,ENSA,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,FDPS,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,GAS5,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,GUK1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,JUN,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,LAD1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,LAMTOR5,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,LMNA,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,MCL1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,MGST3,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,MRPL20,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,MTATP6P1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,PCBP1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,PDIA6,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,PFDN2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,PKP1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,PRDX6,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,PSMA5,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,RAB1A,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,RER1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,RPL11,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,RPL22,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,RPL5,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,RPS27A,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,RPS7,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,RPS8,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,RTN4,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,S100A12,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,S100A16,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,S100A6,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,SDHC,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,SF3B6,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,SFN,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,SH3GLB1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,SUCLG1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,TACSTD2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,TMEM59,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,TPM3,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,TXNIP,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,UQCRH,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,WASF2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,YBX1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,AC016739.1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,AIF1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,ANXA1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,ARPC2,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,BTF3,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,COX7C,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,CTSS,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,EEF1D,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,FCER1G,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,GPX1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,HSP90AB1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,HSPA1A,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,HSPB1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,MIR1244-2,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,MTATP6P1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,PABPC1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,PSAP,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,RPL24,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,RPL7,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,RPS10,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,S100A4,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,S100A8,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,S100A9,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,SOD2,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,SRGN,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,UQCRB,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Nk Cell,CCL5,3,yes
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Nk Cell,EIF1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Nk Cell,H3F3B,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Nk Cell,MALAT1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Nk Cell,RPL26,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Nk Cell,RPL7,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Nk Cell,SRGN,1,no
